Date,Close/Last,Volume,Open,High,Low
02/18/2025,$139.40,219176600,$141.27,$143.44,$137.925
02/14/2025,$138.85,195479600,$136.48,$139.25,$135.50
02/13/2025,$135.29,197430000,$131.555,$136.50,$131.17
02/12/2025,$131.14,160278600,$130.02,$132.24,$129.08
02/11/2025,$132.80,178902400,$132.58,$134.48,$131.02
02/10/2025,$133.57,216989100,$130.09,$135.00,$129.96
02/07/2025,$129.84,228186300,$129.22,$130.37,$125.00
02/06/2025,$128.68,251483600,$127.42,$128.77,$125.21
02/05/2025,$124.83,263110600,$121.76,$125.00,$120.76
02/04/2025,$118.65,256550000,$116.96,$121.20,$116.70
02/03/2025,$116.66,371235700,$114.75,$118.57,$113.01
01/31/2025,$120.07,390372900,$123.78,$127.85,$119.19
01/30/2025,$124.65,392925500,$123.10,$125.00,$118.10
01/29/2025,$123.70,467120600,$126.50,$126.89,$120.05
01/28/2025,$128.99,579666400,$121.81,$129.00,$116.25
01/27/2025,$118.42,818830900,$124.80,$128.40,$116.70
01/24/2025,$142.62,234657600,$148.37,$148.97,$141.88
01/23/2025,$147.22,155915500,$145.05,$147.23,$143.72
01/22/2025,$147.07,237651400,$144.66,$147.79,$143.67
01/21/2025,$140.83,197749000,$139.16,$141.83,$137.09
