股票,天1,天2,天3,天4,天5 
股票1,0.03,0.05,-0.01,0.02,0.04 
股票2,0.02,0.03,0.01,0.00,-0.02
股票3,0.01,0.02,-0.03,-0.01,0.00    
股票4,-0.01,0.03,0.02,0.01,0.04
股票5,0.04,0.02,-0.02,0.03,0.01
股票6,0.02,0.01,0.03,0.04,0.03   
股票7,0.03,0.04,0.02,0.01,0.00
股票8,-0.03,0.01,0.00,0.02,0.01 
股票9,0.03,0.05,-0.02,0.00,0.04
股票10,0.00,0.02,0.03,0.04,0.01
股票11,-0.01,-0.03,0.02,0.01,0.02 
股票12,0.04,0.03,0.00,0.03,0.02
股票13,0.01,0.04,0.05,0.02,0.00
股票14,-0.02,0.00,0.02,0.01,0.03
股票15,0.05,0.03,0.00,-0.01,0.04    
股票16,0.00,-0.01,0.03,0.02,0.01 
股票17,-0.03,0.00,0.02,0.03,0.01 
股票18,0.02,0.03,-0.01,0.04,0.03 
股票19,0.03,0.05,0.01,0.00,0.04
股票20,-0.01,-0.02,0.03,0.02,0.01
股票21,0.01,0.03,-0.02,0.03,0.02 
股票22,0.00,-0.01,0.04,0.01,0.03  
股票23,0.03,0.02,0.00,0.04,0.02
股票24,-0.04,-0.03,0.01,0.02,0.00
股票25,0.02,0.03,0.00,0.02,0.01  
股票26,-0.01,0.01,0.03,0.04,0.03
股票27,0.05,0.02,-0.01,0.01,0.02
股票28,0.01,0.02,0.04,0.03,0.02  
股票29,0.03,0.04,0.01,0.02,-0.01 
股票30,-0.04,-0.01,0.03,0.02,0.01
