日期,高,低,开盘,关闭,成交量
2025年2月19日,367.34,353.67,354,360.56,6655.33万
2025年2月18日,359.1,350.02,355.01,354.11,5163.17万
2025年2月14日,362,347.5,360.62,355.84,6827.73万
2025年2月13日,358.69,342.85,345,355.94,8944.15万
2025年2月12日,346.4,329.12,329.94,336.51,1.05亿
2025年2月11日,349.37,325.1,345.8,328.5,1.19亿
2025年2月10日,362.7,350.51,356.21,350.73,7751.49万
2025年2月7日,380.55,360.34,370.19,361.62,7029.83万
2025年2月6日,375.4,363.18,373.03,374.32,7791.82万
2025年2月5日,388.39,375.53,387.51,378.17,5761.47万
2025年2月4日,394,381.4,382.63,392.21,5707.22万
2025年2月3日,389.17,374.36,386.68,383.68,9373.21万
2025年1月31日,419.99,401.34,401.53,404.6,8356.82万
2025年1月30日,412.5,384.41,410.78,400.28,9809.29万
2025年1月29日,398.59,384.48,395.21,389.1,6803.36万
2025年1月28日,400.59,386.5,396.91,398.09,4891.07万
2025年1月27日,406.69,389,394.8,397.15,5812.55万
2025年1月24日,418.88,405.78,414.45,406.58,5642.71万
2025年1月23日,420.73,408.95,416.06,412.38,5069.06万
2025年1月22日,428,414.59,416.81,415.11,6096.33万
2025年1月21日,433.2,406.31,432.64,424.07,8732.09万
