Date,High,Low,Open,Close,Volume
2025-01-21,433.20,406.31,432.64,424.07,8732.09
2025-01-22,428.00,414.59,416.81,415.11,6096.33
2025-01-23,420.73,408.95,416.06,412.38,5069.06
2025-01-24,418.88,405.78,414.45,406.58,5642.71
2025-01-27,406.69,389.00,394.80,397.15,5812.55
2025-01-28,400.59,386.50,396.91,398.09,4891.07
2025-01-29,398.59,384.48,395.21,389.10,6803.36
2025-01-30,412.50,384.41,410.78,400.28,9809.29
2025-01-31,419.99,401.34,401.53,404.60,8356.82
2025-02-03,389.17,374.36,386.68,383.68,9373.21
2025-02-04,394.00,381.40,382.63,392.21,5707.22
2025-02-05,388.39,375.53,387.51,378.17,5761.47
2025-02-06,375.40,363.18,373.03,374.32,7791.82
2025-02-07,380.55,360.34,370.19,361.62,7029.83
2025-02-10,362.70,350.51,356.21,350.73,7751.49
2025-02-11,349.37,325.10,345.80,328.50,11900.00
2025-02-12,346.40,329.12,329.94,336.51,10500.00
2025-02-13,358.69,342.85,345.00,355.94,8944.15
2025-02-14,362.00,347.50,360.62,355.84,6827.73
2025-02-18,359.10,350.02,355.01,354.11,5163.17
2025-02-19,367.34,353.67,354.00,360.56,6655.33
