Date,Open,High,Low,Close,Volume
10/04/2022,225.64,227.49,223.89,227.01,"34,755,550"
10/03/2022,218.43,220.96,215.132,220.82,"30,352,690"
10/02/2022,223.06,223.58,217.93,218.96,"35,767,260"
10/01/2022,225.07,228.22,224.2,224.59,"36,187,160"
09/30/2022,220.9,224.58,220.79,223.97,"26,318,580"
09/27/2022,220.54,220.96,217.2814,218.82,"25,361,290"
09/26/2022,220,220.94,218.83,219.89,"19,088,310"
09/25/2022,218.55,221.5,217.1402,221.03,"22,481,010"
09/24/2022,221.03,222.49,217.19,217.68,"31,434,370"
09/23/2022,218.95,219.84,217.65,218.72,"19,419,650"
09/20/2022,221.38,222.56,217.473,217.73,"57,977,090"
09/19/2022,222.01,223.76,220.37,220.96,"22,187,880"
09/18/2022,221.06,222.85,219.44,222.77,"25,643,090"
09/17/2022,219.96,220.82,219.12,220.7,"18,386,470"
09/16/2022,217.73,220.13,217.56,219.9,"21,158,140"
09/13/2022,220,220.79,217.02,218.75,"39,763,300"
09/12/2022,224.8,226.42,222.86,223.085,"32,226,670"
09/11/2022,218.07,223.71,217.73,223.59,"44,289,650"
