"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-2-27","85,412.3","84,204.6","85,641.6","84,085.5","148.37K","1.42%"
"2025-2-26","84,212.7","88,675.0","89,375.3","82,332.9","145.33K","-5.04%"
"2025-2-25","88,686.0","91,510.4","92,523.1","86,097.5","195.29K","-3.08%"
"2025-2-24","91,508.5","96,261.0","96,497.9","91,378.5","96.46K","-4.93%"
"2025-2-23","96,258.8","96,556.2","96,655.2","95,259.5","38.82K","-0.31%"
"2025-2-22","96,556.1","96,158.3","96,930.8","95,801.1","45.62K","0.42%"
"2025-2-21","96,155.6","98,310.3","99,473.4","94,903.6","104.28K","-2.19%"
"2025-2-20","98,310.3","96,645.2","98,721.6","96,441.9","61.84K","1.72%"
"2025-2-19","96,644.8","95,663.7","96,829.6","95,049.1","58.27K","1.05%"
"2025-2-18","95,638.0","95,781.5","96,645.1","93,403.4","74.09K","-0.15%"
"2025-2-17","95,781.3","96,120.2","97,002.3","95,222.0","58.40K","-0.36%"
"2025-2-16","96,132.1","97,573.1","97,706.5","96,060.2","33.35K","-1.48%"
"2025-2-15","97,573.4","97,504.4","97,973.2","97,210.8","29.65K","0.07%"
"2025-2-14","97,504.6","96,611.6","98,817.3","96,316.5","65.37K","0.93%"
"2025-2-13","96,610.2","97,874.7","98,079.6","95,295.4","66.76K","-1.30%"
"2025-2-12","97,881.3","95,777.2","98,095.8","94,110.7","87.21K","2.20%"
"2025-2-11","95,771.7","97,434.7","98,476.5","94,902.7","69.89K","-1.71%"
"2025-2-10","97,434.7","96,469.2","98,311.6","95,307.7","71.43K","1.00%"
"2025-2-9","96,469.2","96,448.4","97,297.8","94,750.4","48.38K","0.02%"
"2025-2-8","96,447.9","96,513.5","96,862.8","95,716.1","38.99K","-0.07%"
"2025-2-7","96,513.5","96,564.8","100,133.9","95,693.7","97.60K","-0.06%"
"2025-2-6","96,568.8","96,606.3","99,119.2","95,706.6","76.92K","-0.03%"
"2025-2-5","96,595.3","97,784.8","99,028.3","96,163.8","82.92K","-1.23%"
"2025-2-4","97,793.4","101,339.7","101,692.9","96,190.5","117.35K","-3.50%"
"2025-2-3","101,337.1","97,686.0","102,372.2","91,695.8","190.81K","3.74%"
"2025-2-2","97,684.9","100,647.1","101,451.0","96,250.2","99.36K","-2.94%"
"2025-2-1","100,648.0","102,421.3","102,770.8","100,293.5","47.48K","-1.73%"
"2025-1-31","102,424.2","104,726.9","105,876.3","101,576.0","82.79K","-2.20%"
"2025-1-30","104,726.9","103,723.0","106,409.1","103,388.4","74.84K","0.97%"
"2025-1-29","103,722.0","101,342.1","104,760.0","101,340.6","74.38K","2.34%"
"2025-1-28","101,349.3","102,085.2","103,584.1","100,288.0","74.69K","-0.73%"
"2025-1-27","102,091.7","102,618.3","103,234.8","97,987.5","146.38K","-0.53%"
"2025-1-26","102,637.8","104,743.8","105,399.8","102,543.8","32.18K","-2.01%"
"2025-1-25","104,742.9","104,861.4","105,255.6","104,133.9","37.68K","-0.11%"
"2025-1-24","104,862.3","103,913.6","107,102.2","102,760.0","83.96K","0.91%"
"2025-1-23","103,912.1","103,681.3","106,806.5","101,281.6","141.80K","0.22%"
"2025-1-22","103,684.8","106,157.2","106,266.2","103,354.4","77.56K","-2.33%"
"2025-1-21","106,157.2","102,190.2","107,211.9","100,192.5","129.36K","3.87%"
"2025-1-20","102,197.7","101,313.3","109,228.6","99,676.0","202.66K","0.87%"
"2025-1-19","101,319.5","104,536.8","106,338.2","99,742.7","123.72K","-3.08%"
"2025-1-18","104,536.9","104,084.7","104,953.1","102,297.0","79.30K","0.43%"
"2025-1-17","104,084.9","99,991.9","105,843.8","99,956.2","127.33K","4.08%"
"2025-1-16","100,004.5","100,499.9","100,812.4","97,400.2","87.08K","-0.49%"
"2025-1-15","100,499.8","96,547.4","100,671.0","96,501.9","95.32K","4.10%"
"2025-1-14","96,542.1","94,536.7","97,361.2","94,359.5","87.79K","2.12%"
"2025-1-13","94,534.3","94,540.5","95,906.9","89,664.8","115.20K","0.00%"
"2025-1-12","94,533.6","94,598.0","95,383.2","93,736.6","31.61K","-0.07%"
"2025-1-11","94,596.7","94,724.0","95,009.4","93,847.8","29.16K","-0.13%"
"2025-1-10","94,724.1","92,540.5","95,760.6","92,310.6","125.42K","2.36%"
"2025-1-9","92,539.8","95,066.6","95,323.1","91,241.9","132.78K","-2.66%"
"2025-1-8","95,066.6","96,938.2","97,266.4","92,716.6","100.36K","-1.92%"
"2025-1-7","96,929.8","102,247.9","102,678.2","96,201.3","99.77K","-5.20%"
"2025-1-6","102,248.7","98,373.2","102,474.5","97,932.3","86.73K","3.97%"
"2025-1-5","98,347.7","98,220.1","98,823.1","97,300.0","31.34K","0.13%"
"2025-1-4","98,219.9","98,168.9","98,742.6","97,568.9","36.56K","0.05%"
"2025-1-3","98,167.5","96,960.2","98,963.3","96,090.6","61.62K","1.25%"
"2025-1-2","96,960.0","94,561.1","97,808.0","94,381.2","76.13K","2.54%"
"2025-1-1","94,560.2","93,557.3","95,100.0","92,939.3","43.34K","1.07%"
"2024-12-31","93,557.2","92,777.2","96,163.4","92,036.2","74.85K","0.84%"
"2024-12-30","92,779.8","93,718.7","94,936.4","91,522.3","112.43K","-1.00%"
"2024-12-29","93,716.3","95,282.6","95,315.4","93,026.7","47.71K","-1.65%"
"2024-12-28","95,284.5","94,274.9","95,684.3","94,124.7","32.97K","1.07%"
"2024-12-27","94,275.9","95,776.4","97,243.3","93,472.8","85.12K","-1.57%"
"2024-12-26","95,777.7","99,389.4","99,922.5","95,193.3","74.60K","-3.64%"
"2024-12-25","99,391.3","98,661.9","99,514.1","97,651.9","39.80K","0.73%"
"2024-12-24","98,668.1","94,852.8","99,446.6","93,566.2","69.86K","4.02%"
"2024-12-23","94,852.1","95,184.8","96,517.8","92,543.2","133.24K","-0.35%"
"2024-12-22","95,183.8","97,281.6","97,422.2","94,265.2","100.64K","-2.13%"
"2024-12-21","97,253.3","97,799.1","99,531.9","96,478.6","123.36K","-0.55%"
"2024-12-20","97,795.7","97,468.3","98,178.2","92,301.9","221.18K","0.34%"
"2024-12-19","97,466.1","100,190.5","102,778.8","95,672.2","200.57K","-2.73%"
"2024-12-18","100,197.8","106,140.7","106,477.6","100,049.3","187.49K","-5.60%"
"2024-12-17","106,138.9","106,053.4","108,244.9","105,350.6","149.37K","0.08%"
"2024-12-16","106,057.6","104,479.2","107,767.6","103,351.7","232.66K","1.55%"
"2024-12-15","104,443.0","101,417.9","105,120.9","101,234.9","133.99K","2.98%"
"2024-12-14","101,417.7","101,423.7","102,633.0","100,626.3","105.31K","-0.01%"
"2024-12-13","101,426.2","100,008.3","101,891.2","99,214.2","162.40K","1.42%"
"2024-12-12","100,009.9","101,126.3","102,495.3","99,334.5","188.96K","-1.10%"
"2024-12-11","101,126.2","96,603.2","101,877.1","95,689.5","250.02K","4.69%"
"2024-12-10","96,600.3","97,311.5","98,237.8","94,304.5","271.45K","-0.78%"
"2024-12-9","97,359.4","101,129.7","101,198.6","94,395.8","321.01K","-3.72%"
"2024-12-8","101,115.8","99,837.0","101,339.9","98,713.9","128.93K","1.28%"
"2024-12-7","99,837.0","99,757.2","100,441.8","98,969.0","118.44K","0.08%"
"2024-12-6","99,760.7","96,968.9","101,908.5","96,452.0","213.49K","2.88%"
"2024-12-5","96,970.8","98,624.8","103,719.4","92,510.4","245.79K","-1.69%"
"2024-12-4","98,635.8","95,900.1","99,030.7","94,625.3","113.77K","2.85%"
"2024-12-3","95,898.7","95,843.9","96,245.0","93,646.1","95.08K","0.05%"
"2024-12-2","95,846.6","97,199.3","98,082.0","94,510.6","95.80K","-1.39%"
"2024-12-1","97,201.4","96,404.7","97,813.9","95,721.8","42.90K","0.83%"
"2024-11-30","96,405.7","97,438.5","97,461.9","96,119.6","36.92K","-1.06%"
