Date,Close/Last,Volume,Open,High,Low
02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54
02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65
02/18/2025,$409.64,21423050,$408.00,$410.597,$406.50
02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88
02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36
02/12/2025,$409.04,19121730,$407.21,$410.75,$404.3673
02/11/2025,$411.44,18140590,$409.64,$412.49,$409.30
02/10/2025,$412.22,20817920,$413.71,$415.4624,$410.92
02/07/2025,$409.75,22886840,$416.48,$418.65,$408.10
02/06/2025,$415.82,16309760,$414.00,$418.20,$414.00
02/05/2025,$413.29,16336190,$412.35,$413.827,$410.40
02/04/2025,$412.37,20532100,$412.685,$413.9199,$409.74
02/03/2025,$410.92,25679150,$411.60,$415.41,$408.66
01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91
01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16
01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40
01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38
01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50
01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40
01/23/2025,$446.71,18389270,$442.00,$446.75,$441.5048
01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00
01/21/2025,$428.50,26085700,$430.20,$430.8999,$425.595
